brand,color,condition,contract,date,link,memory,mobOs,model,price,title
apple,black,new,att,2019-09-30 11:37,https://newyork.craigslist.org/que/mob/d/woodside-iphone-7-black-32gb-att/6975226589.html,32gb,apple iOS,A1778,$270,iphone 7 black 32gb at&t
none,,,unlocked,2019-09-30 06:29,https://newyork.craigslist.org/mnh/mob/d/astoria-two-female-models-needed-lgbt/6989438354.html,,other,,$200,two female models needed lgbt
none,,like new,att,2019-09-30 11:45,https://newyork.craigslist.org/mnh/mob/d/new-york-coolpad-legacy-metro-pcs-like/6989614497.html,,android,,$80,coolpad legacy (metro pcs) like new!! (one day sale)
apple,silver,like new,verizon,2019-09-29 22:19,https://newyork.craigslist.org/que/mob/d/maspeth-like-new-silver-iphone-se-32gb/6979704865.html,32gb,apple iOS,iPhone SE,$70,like new silver iphone se 32gb verizon prepaid phone blocked read!
samsung,white,good,tmobile,2019-09-29 22:19,https://newyork.craigslist.org/que/mob/d/maspeth-nice-white-samsung-s10e-128gb/6979472804.html,128gb,android,Samsung Galaxy S10e,$375,nice white samsung s10e 128gb unlocked low price!
apple,gray,like new,att,2019-09-30 11:47,https://newyork.craigslist.org/mnh/mob/d/new-york-unlocked-iphone-64gb-space/6989616175.html,64gb,apple iOS,iphone x,$490,unlocked - iphone x - 64gb - space gray - unlocked)
apple,gray,like new,unlocked,2019-09-29 22:19,https://newyork.craigslist.org/que/mob/d/maspeth-like-new-gray-iphone-6s-plus/6979469355.html,32gb,apple iOS,iPhone 6S PLUS,$100,like new gray iphone 6s plus 32gb straight talk phone blocked read!
apple,white,excellent,tmobile,2019-09-29 22:27,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6s-white-64gb-unlocked/6989369459.html,64gb,apple iOS,iPhone6S,$160,"iphone 6s - white, 64gb, unlocked"
apple,gold,like new,verizon,2019-09-29 20:04,https://newyork.craigslist.org/brk/mob/d/brooklyn-unlocked-xs-max-64gb-for-trade/6973532968.html,64gb,apple iOS,XS Max 64GB,$500,unlocked xs max 64gb for trade or sale
none,,like new,att,2019-09-29 18:16,https://newyork.craigslist.org/brx/mob/d/bronx-coolpad-legacy-metro-pcs/6974431694.html,32 gb,android,,$100,coolpad legacy (metro pcs)
none,,excellent,att,2019-09-29 18:16,https://newyork.craigslist.org/mnh/mob/d/new-york-alcatel-fierce-unlocked-meet/6976711757.html,,android,,$50,alcatel fierce (unlocked) meet in bronx or manhattan
oneplus,blue,new,unlocked,2019-09-29 20:31,https://newyork.craigslist.org/mnh/mob/d/new-york-oneplus-7-pro-nebula-blue-8-gb/6989321429.html,8 gb,android,OnePlus 7 Pro Nebula Blue,$750,oneplus 7 pro nebula blue 8 gb ram + 256 gb storage
apple,purple,new,unlocked,2019-09-29 20:35,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-11-purple-gb/6985964262.html,128 gb,apple iOS,Iphone 11,$830,iphone 11 - purple - 128 gb
apple,gray,good,unlocked,2019-09-29 18:23,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6-passcode-locked/6989254452.html,,apple iOS,,$60,iphone 6 passcode locked
apple,,,unlocked,2019-09-29 18:36,https://newyork.craigslist.org/stn/mob/d/staten-island-iphone-for-sale/6989261678.html,,apple iOS,,$475,iphone x for sale
samsung,,new,verizon,2019-09-29 14:17,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-note10-aura-glow-256gb/6989095169.html,256gb,android,Note10 Aura Glow 256GB,$750,samsung note10 aura glow 256gb
apple,white,excellent,verizon,2019-09-29 18:37,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-300/6989262122.html,64gb,apple iOS,iPhone X,$300,iphone x 300$
samsung,black,good,tmobile,2019-09-29 14:19,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-galaxy-s5-mobile-great/6968184463.html,,android,,$129,samsung galaxy s5 t-mobile ((great shape))
apple,,,unlocked,2019-09-29 14:20,https://newyork.craigslist.org/brx/mob/d/bronx-apple-iphone-11-pro-max-leather/6989097374.html,,apple iOS,,$100,apple iphone 11 pro max leather folio. 100% authentic genuine
samsung,gray,like new,tmobile,2019-09-29 14:32,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-galaxy-s8-active/6986163705.html,64gb,android,galaxy s8 active,$250,samsung galaxy s8 active meteor gray 64gb unlocked att simple tmobile
none,,good,tmobile,2019-09-29 14:36,https://newyork.craigslist.org/que/mob/d/maspeth-lg-g6/6968606163.html,,android,,$150,lg g6
apple,,,unlocked,2019-09-29 15:15,https://newyork.craigslist.org/brk/mob/d/brooklyn-license-suspended-need-license/6987785454.html,,apple iOS,,$500,license suspended? need license or cdl?
lg,,like new,sprint,2019-09-29 14:51,https://newyork.craigslist.org/que/mob/d/fresh-meadows-perfect-condition-lg-g7/6989119080.html,,android,G7 Thinq,$250,perfect condition lg g7 thinq for sprint
apple,,,unlocked,2019-09-29 14:41,https://newyork.craigslist.org/que/mob/d/corona-iphone-256gb-unlocked/6989103399.html,256gb,apple iOS,,$625,iphone x 256gb unlocked
apple,white,excellent,verizon,2019-09-29 14:58,https://newyork.craigslist.org/mnh/mob/d/new-york-city-iphone-4/6989061495.html,16gb,apple iOS,iPhone 4S,$39,iphone 4-s
apple,black,,unlocked,2019-09-29 15:48,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-xr-64g/6989157536.html,,apple iOS,,$600,iphone xr 64g
apple,,,unlocked,2019-09-29 15:15,https://newyork.craigslist.org/brk/mob/d/brooklyn-license-suspended-need-license/6985760984.html,,apple iOS,,$500,license suspended? need license or cdl?
huawei,black,good,unlocked,2019-09-29 15:54,https://newyork.craigslist.org/mnh/mob/d/new-york-city-huawei-p30-pro-128gb/6989146227.html,128gb,android,P30 Pro,$750,huawei p30 pro 128gb black unlocked $750 obo
google,black,fair,unlocked,2019-09-29 15:40,https://newyork.craigslist.org/brk/mob/d/brooklyn-google-pixel-2-xl/6987450206.html,64gb,android,Pixel 2 XL,$120,google pixel 2 xl
apple,black,new,unlocked,2019-09-29 16:08,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xr-black/6989171403.html,256 gb,apple iOS,,$500,iphone xr black
samsung,black,,unlocked,2019-09-29 16:05,https://newyork.craigslist.org/brx/mob/d/samsung-galaxy-s7/6968471861.html,,android,,$150,samsung galaxy s7
apple,gold,like new,verizon,2019-09-29 16:22,https://newyork.craigslist.org/que/mob/d/forest-hills-iphone-xs-max-256gb/6989174097.html,256gb,apple iOS,IPhone XS Max 256,$700,iphone xs max 256gb unlocked - perfect
apple,black,like new,tmobile,2019-09-29 16:43,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-xr-64-gb-tmobile-black/6989193465.html,64 gb,apple iOS,XR,$475,iphone xr 64 gb tmobile black
apple,red,excellent,att,2019-09-29 16:53,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-8-plus-unlocked/6989200073.html,,apple iOS,8 plus,$625,iphone 8 plus (unlocked )
apple,gray,like new,unlocked,2019-09-29 16:31,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xs-max-256gb-black/6989186114.html,256gb,apple iOS,iPhone XS Max,$850,iphone xs max 256gb black unlocked - near mint condition
apple,black,like new,verizon,2019-09-29 16:34,https://newyork.craigslist.org/mnh/mob/d/new-york-city-apple-iphone-6s-32gb/6989180292.html,32gb,apple iOS,iPhone 6S,$189,apple iphone 6s 32gb black (unlocked)
apple,red,good,att,2019-09-29 16:50,https://newyork.craigslist.org/que/mob/d/rego-park-iphone-4s/6984214107.html,32 gb,apple iOS,Iphone 4S,$56,iphone 4s
apple,,new,unlocked,2019-09-29 16:56,https://newyork.craigslist.org/que/mob/d/flushing-3-star-hotel-rooms-for-three/6986560727.html,,apple iOS,iphone x,$100,3 star hotel rooms for three hours
samsung,,good,att,2019-09-29 16:58,https://newyork.craigslist.org/que/mob/d/jackson-heights-samsung-galaxy-s4/6989203260.html,16gb,android,S4,$75,samsung galaxy s4
apple,,,unlocked,2019-09-29 17:24,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-6-16gb-for-parts/6989219349.html,16gb,apple iOS,Iphone 6,$50,"iphone 6 , 16gb, for parts"
apple,white,good,unlocked,2019-09-29 17:36,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6-16gb-unlocked-white/6989226424.html,16gb,apple iOS,,$100,iphone 6 16gb unlocked white good shape no scratch
apple,,,unlocked,2019-09-29 17:29,https://newyork.craigslist.org/mnh/mob/d/new-york-brand-new-slim-power-bank/6989222230.html,,apple iOS,,$45,brand new slim power bank
apple,silver,excellent,unlocked,2019-09-29 16:59,https://newyork.craigslist.org/wch/mob/d/rye-iphone-256gb-unlocked/6989159674.html,256gb,apple iOS,,$520,iphone x 256gb unlocked
apple,,like new,unlocked,2019-09-29 17:36,https://newyork.craigslist.org/que/mob/d/jamaica-iphone-64gb/6989226593.html,64gb,apple iOS,,$600,iphone x 64gb
apple,,like new,unlocked,2019-09-29 17:35,https://newyork.craigslist.org/que/mob/d/jamaica-iphone-xs-max-256gb/6989225861.html,256gb,apple iOS,,$850,iphone xs max 256gb
apple,rose,like new,verizon,2019-09-29 17:09,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-7-almost-like-new/6987925805.html,128 gb,apple iOS,,$220,iphone 7 almost like new.
samsung,,good,att,2019-09-29 16:58,https://newyork.craigslist.org/que/mob/d/jackson-heights-samsung-galaxy-s4/6989203389.html,16gb,android,S4,$75,samsung galaxy s4
apple,black,new,unlocked,2019-09-29 17:37,https://newyork.craigslist.org/que/mob/d/flushing-sell-iphone-7-plus/6989192034.html,,apple iOS,iphone 7 plus,$400,sell iphone 7 plus
apple,,,verizon,2019-09-29 18:40,https://newyork.craigslist.org/lgi/mob/d/lindenhurst-iphone-8plus-64gb-verizon/6989263607.html,64gb,apple iOS,,$425,iphone 8plus 64gb verizon
apple,white,like new,tmobile,2019-09-29 18:48,https://newyork.craigslist.org/que/mob/d/woodside-iphone-256gb-mint-condition/6976072063.html,256gb,apple iOS,X,$700,iphone x 256gb [mint condition]
lg,,excellent,verizon,2019-09-29 19:10,https://newyork.craigslist.org/mnh/mob/d/new-york-lg-g6-verizon-unlocked/6985832146.html,,android,G6 / VS988,$100,lg g6 - verizon unlocked
none,,like new,unlocked,2019-09-29 18:16,https://newyork.craigslist.org/brx/mob/d/bronx-coolpad-legacy-metro-pcs/6973266661.html,,android,,$100,coolpad legacy (metro pcs)
apple,,new,unlocked,2019-09-29 18:38,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xs-512gb-unlock/6989239336.html,512gb,apple iOS,XS,$700,iphone xs 512gb unlock
widex,,new,unlocked,2019-09-29 18:56,https://newyork.craigslist.org/mnh/mob/d/new-york-city-cordless-phone-to-use/6986859031.html,,other,Phone-Dex,$100,cordless phone to use with hearing aids
apple,silver,like new,unlocked,2019-09-29 19:22,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-256gb-silver-unlocked/6984388750.html,256gb,apple iOS,iPhone X,$600,iphone x 256gb (silver) unlocked
apple,black,,att,2019-09-29 13:58,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-7-128gb-black-att/6989081815.html,128gb,apple iOS,,$200,iphone 7 128gb black att unlocked
apple,red,,att,2019-09-29 19:25,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6s-plus-32gb-unlocked/6989288522.html,32gb,apple iOS,,$180,iphone 6s plus 32gb unlocked
samsung,,good,unlocked,2019-09-29 19:30,https://newyork.craigslist.org/lgi/mob/d/new-hyde-park-samsung-s7/6989290962.html,4gb,android,,$175,samsung s7
samsung,,good,unlocked,2019-09-29 19:32,https://newyork.craigslist.org/que/mob/d/jamaica-samsung-s7/6989291868.html,4gb,android,,$175,samsung s7
samsung,,excellent,unlocked,2019-09-29 19:33,https://newyork.craigslist.org/lgi/mob/d/hicksville-samsung-s7/6989292642.html,4gb,android,,$175,samsung s7
samsung,black,like new,tmobile,2019-09-29 19:48,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-s10-plus-unlocked-128/6989300533.html,128 gb,android,,$650,"samsung s10 plus, unlocked, 128 gb. only in nyc, scammers stay away."
samsung,,,unlocked,2019-09-29 19:49,https://newyork.craigslist.org/mnh/mob/d/new-york-samsung-galaxy-note-gb-unlocked/6989285979.html,512gb,android,,$1100,samsung galaxy note 10+ 512gb unlocked
apple,,excellent,unlocked,2019-09-29 19:52,https://newyork.craigslist.org/fct/mob/d/new-haven-iphone-xs-256gb/6989302372.html,256gb,apple iOS,iPhone Xs,$300,iphone xs 256gb
apple,,good,unlocked,2019-09-29 09:06,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-7-plus-128gb-unlocked/6988909512.html,128gb,apple iOS,7 plus,$250,iphone 7 plus 128gb unlocked
apple,,good,att,2019-09-29 09:06,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-5s-att/6988909601.html,,apple iOS,5s,$60,iphone 5s at&t
apple,,good,unlocked,2019-09-29 09:06,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6-plus-16gb-unlocked/6988909682.html,16gb,apple iOS,6 plus,$100,iphone 6 plus 16gb unlocked
