brand,color,condition,contract,link,memory,mobOs,model,price,title
,,,,https://sfbay.craigslist.org/pen/mob/d/mountain-view-speck-gemshell-case-for/6972506573.html,,,,$6,"Speck Gemshell Case for iPhone XS/iPhone X, Clear Brand New"
,,,,https://sfbay.craigslist.org/eby/mod/d/hayward-lots-of-iphones-xs-xr7-plus-8/6975927381.html,,,,$0,"LOTS OF IPHONES X, XS, XR,7, Plus, 8, X, Tmobile Metro Pcs ATT VERIZON"
,,,,https://sfbay.craigslist.org/sby/mod/d/san-jose-mac-pc-iphone-ipad-screen/6975914687.html,,,,$0,"mac, pc, iphone, ipad, screen, batery, softwere, hardwere,unlocking,,,"
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-cell-phone-case/6975904677.html,,,,$5,Cell phone case
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-invisiglass-ultra/6955783476.html,,,,$10,Iphone X InvisiGlass Ultra Screen Protector
,,,,https://sfbay.craigslist.org/pen/mob/d/sunnyvale-iphone-6s-and-iphone-7-all/6965313600.html,,,,$1,iPhone 6S+ and iPhone 7 (all Unlocked)
,,,,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-7-iphone-6s-unlocked/6962526704.html,,,,$1,iPhone 7 - iPhone 6S+ (Unlocked all)
,,,,https://sfbay.craigslist.org/sby/mod/d/fremont-cracked-screen-replacement/6975862702.html,,,,$0,Cracked Screen Replacement & Battery ( APPLE ) SAMSUNG ( LG ) NOKIA
,,,,https://sfbay.craigslist.org/eby/mod/d/fremont-cracked-screen-replacement/6975860096.html,,,,$0,Cracked Screen Replacement ( APPLE ) SAMSUNG ( LG ) NOKIA
,,,,https://sfbay.craigslist.org/eby/mob/d/hayward-iphone-gb-400-ipad-300/6962421456.html,,,,$0,"iphone 7 128 GB 400$, iPad 300 $"
,,,,https://sfbay.craigslist.org/sby/mod/d/san-jose-iphone-screen-repair-plus/6975827901.html,,,,$0,"IPHONE SCREEN REPAIR, 7,8 $55,6 $40,8,7 PLUS $65,FIX IPAD, UNLOCKING"
,,,,https://sfbay.craigslist.org/eby/mob/d/berkeley-new-case-for-iphone/6975823906.html,,,,$10,#NEW# Case for iPhone X
,,,,https://sfbay.craigslist.org/eby/mob/d/hayward-iphone-gb-400-ipad-300/6962421456.html,,,,$0,"iphone 7 128 GB 400$, iPad 300 $"
,,,,https://sfbay.craigslist.org/sby/mod/d/san-jose-iphone-screen-repair-plus/6975827901.html,,,,$0,"IPHONE SCREEN REPAIR, 7,8 $55,6 $40,8,7 PLUS $65,FIX IPAD, UNLOCKING"
,,,,https://sfbay.craigslist.org/eby/mob/d/berkeley-new-case-for-iphone/6975823906.html,,,,$10,#NEW# Case for iPhone X
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-8-plus-cover-protector/6955632849.html,,,,$5,Iphone 8 plus cover/protector
,,,,https://sfbay.craigslist.org/eby/mod/d/iphone-battery-fix-screen-glass-unlock/6975815644.html,,,,$0,IPHONE BATTERY FIX SCREEN GLASS UNLOCK REPAIR ACTIVATE UNLOCKING PHONE
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-very-rare-like-new-samsung/6974249067.html,,,,$1299,VERY RARE: LIKE-NEW SAMSUNG GALAXY S10 PLUS 1TB
,,,,https://sfbay.craigslist.org/eby/mod/d/fremont-cell-phone-repair-iphone/6975803491.html,,,,$0,"CELL PHONE REPAIR/ iPHONE CRACKED SCREEN REPLACEMENT, SAMSUNG REPAIR"
,,,,https://sfbay.craigslist.org/sby/mod/d/fremont-iphone-repair-cell-phone-repair/6975802154.html,,,,$0,"iPhone Repair, Cell Phone Repair, Cracked Screen Repair, Samsung Galax"
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-brand-new-seal-unlocked-apple/6973152514.html,,,,$1130,Brand New Seal Unlocked Apple iphone XS MAX 512GB(BIG SAVE!)
,,,,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-free-emr-cell-phone/6975744228.html,,,,$0,Free EMR Cell Phone Stickers (10pck)
,,,,https://sfbay.craigslist.org/eby/mob/d/fremont-uniden-1100-slimline-corded/6975769020.html,,,,$7,"Uniden 1100 Slimline Corded Phone, White"
,,,,https://sfbay.craigslist.org/pen/mob/d/san-mateo-new-lg-ac-adapter-model-v/6957289305.html,,,,$5,**NEW** LG AC Adapter Model 8102  5.0V - SAVE 50%
,,,,https://sfbay.craigslist.org/eby/mob/d/castro-valley-light-cable-30-pin4/6956675654.html,,,,$4,Light cable 30 pin4
,,,,https://sfbay.craigslist.org/eby/mob/d/iphone-5-5s-world-cup-soccer-case-cover/6969647255.html,,,,$10,iPhone 5 & 5s World Cup Soccer Case / Cover
,,,,https://sfbay.craigslist.org/pen/mob/d/san-mateo-nokia-acp-12u-power-supply-ac/6973231297.html,,,,$5,Nokia ACP-12U Power Supply / AC adapter / Travel Charger
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-samsung-in-wall-phone-charger/6970505730.html,,,,$5,Samsung in-wall phone charger
,,,,https://sfbay.craigslist.org/eby/mob/d/milpitas-auto-phone-mount-new/6965428647.html,,,,$0,auto phone mount New
,,,,https://sfbay.craigslist.org/eby/mod/d/fremont-cracked-screen-battery-speaker/6975728140.html,,,,$0,Cracked screen? battery ? speaker issues we fix all
,,,,https://sfbay.craigslist.org/eby/mob/d/vacaville-samsung-tablet-usb-charge-and/6960883413.html,,,,$5,Samsung Tablet USB Charge and Sync
,,,,https://sfbay.craigslist.org/eby/mod/d/samsung-google-lock-frp-account-lock/6975689902.html,,,,$0,SAMSUNG GOOGLE LOCK FRP ACCOUNT LOCK BLOCK NETWORK FIX UNBLOCK IMEI
,,,,https://sfbay.craigslist.org/sby/mod/d/san-jose-fix/6975663650.html,,,,$0,"FIX IPAD,IPHONE,SAMSUNG,MAC,PC,(15%OFF)IPHONE 4 SALE,UNLOCKING,& MORE"
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-brand-new-xs-max-512gb-gold/6973577838.html,,,,$1190,Brand new Xs max 512Gb Gold Free sim (Unlocked)
,,,,https://sfbay.craigslist.org/sby/mob/d/minisuit-portable-selfie-stick-lite/6968006978.html,,,,$10,Minisuit Portable Selfie Stick Lite
,,,,https://sfbay.craigslist.org/sby/mob/d/santa-clara-maxell-apple-iphone-leather/6967925780.html,,,,$5,Maxell Apple iPhone Leather Case
,,,,https://sfbay.craigslist.org/eby/mod/d/hayward-cell-phone-repair-best-prices/6975617565.html,,,,$0,Cell phone repair--BEST PRICES -unlocked phones LG APPLE SAMSUNG NOKI
,,,,https://sfbay.craigslist.org/sby/mob/d/san-jose-apple-iphone-ipad-sim-card/6970343989.html,,,,$3,Apple iPhone & iPad Sim Card Removal Tools
,,,,https://sfbay.craigslist.org/pen/mob/d/sunnyvale-iphone-7-and-iphone-6s/6972301207.html,,,,$1,iPhone 7 and iPhone 6S+ (Factory Unlocked)
,,,,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-7-and-iphone-6s/6965046793.html,,,,$1,iPhone 7 and iPhone 6S+ (Unlocked)
,,,,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-7-iphone-6s-all/6972302490.html,,,,$1,"iPhone 7 , iPhone 6S+ (all Unlocked)"
,,,,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-30-pin-to-dual-usb/6962148716.html,,,,$5,Iphone 30-pin to dual USB and Firewire-400 charging cable
,,,,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-wholesale-extendable/6957226650.html,,,,$1,Wholesale Extendable Wired Selfie Stick Monopod Remote Shutter Phone
,,,,https://sfbay.craigslist.org/nby/mob/d/vineburg-iphone-5s-space-gray-16gb-att/6961846375.html,,,,$5,iPhone 5s Space Gray 16GB AT&T Box
